"devt","status","suit_1","total_rx_pct_1","exp_rx_1","status_1","status_2","status_2_1"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"O",0,0.804866666666667,914.6,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0.954568884872629,4000,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"O",0,0.89555,2268.85,"O","O","O_O"
42,"O",0,0.778632173913044,1043.85,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"O",1,0.820632094447977,4094.35,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"O",0,0.49775624462734,12182.96,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"O",1,0.921610169491525,1187.5,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0.0870827073244153,37575.85,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"O",0,1,2000,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0.491231453927372,2108.41,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0.625490476190476,887.65,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",1,0.262391024256733,1081.4,"C","O","C"
42,"O",0,0.815196815621325,15000,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"O",0,0.95030836,12577.09,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0.928015918901317,17510.34,"O","O","O_O"
42,"O",1,0.891524956999664,1685.48,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",1,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0.0262390918754774,19747.35,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"O",0,0.527467461327506,1433.12,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
